Name,Brand,modelnumber,brandcolor,eanorupc,eanorupcmeasuringunits,Type,compatibledevice,compatiblewith,price,wholesaleprice,firstsaleprice,secondsaleprice,specialpriceto,specialpricefrom,image,category,quantity
Switcheasy 0.35 Back Case For Apple iphone 6S Plus - Stealth Black,"Switcheasy,Switcheasy",AP-22-126-11,Stealth Black,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S Plus,1000,800,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S Plus - Yellow,"Switcheasy,Switcheasy",AP-22-126-22,Yellow,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S Plus,1000,800,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S Plus - Blue,"Switcheasy,Switcheasy",AP-22-126-13,Blue,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S Plus,1000,800,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S Plus - Frost White,"Switcheasy,Switcheasy",AP-22-126-12,Frost White,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S Plus,1000,800,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S Plus - Pink,"Switcheasy,Switcheasy",AP-22-126-18,Pink,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S Plus,1000,800,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S - Stealth Black,"Switcheasy,Switcheasy",AP-21-126-11,Stealth Black,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S,850,680,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S - Yellow,"Switcheasy,Switcheasy",AP-21-126-22,Yellow,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S,850,680,,,0000-00-00,0000-00-00,"defult_(11)1.jpg,defult_(11)1.jpg","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S - Blue,"Switcheasy,Switcheasy",AP-21-126-13,Blue,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S,850,680,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S - Frost White,"Switcheasy,Switcheasy",AP-21-126-12,Frost White,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iphone 6S,850,680,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Switcheasy 0.35 Back Case For Apple iphone 6S - Pink,"Switcheasy,Switcheasy,Switcheasy,Switcheasy,Switcheasy,Switcheasy,Switcheasy,Switcheasy",AP-21-126-18,Pink,4.89702E+12,,"Back Case,Hard Case,Back Case,Hard Case,Back Case,Hard Case,Back Case,Hard Case",Phone,Apple iphone 6S,850,680,,,0000-00-00,0000-00-00,"defult_(3)1.jpg,defult_(3)1.jpg,defult_(1).jpg,defult_(1).jpg,defult_(2).jpg,defult_(2).jpg,defult.jpg,defult.jpg","Cases & Protection,Cases & Protection,Cases & Protection,Cases & Protection,Cases & Protection,Cases & Protection,Cases & Protection,Cases & Protection",1
Essentials 0.1MM Glass Screenguard For Apple iPhone 6 Plus - AntiBlue,Essentials,,AntiBlue,4.89702E+12,,Glass Screenguard,Phone,Apple iPhone 6 Plus,0,,,,0000-00-00,0000-00-00,,Cases & Protection,1
Essentials 0.1MM Glass Screenguard For Apple iPhone 6 - Clear,Essentials,,Clear,4.89702E+12,,Glass Screenguard,Phone,Apple iPhone 6,0,,,,0000-00-00,0000-00-00,,Cases & Protection,1
Incipio NGP Back Case For Apple iPhone 6 - Frosted,"Incipio,Incipio",IPH1181FRST,Frosted,4.89702E+12,,"Back Case,Soft Case",Phone,Apple iPhone 6,0,,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Bling My Thing Milkyway Back Case For Apple iPhone 6 - Crystal,"Bling My Thing,Bling My Thing",IP6MWCLCRY,Crystal,4.89702E+12,,"Back Case,Hard Case",Phone,Apple iPhone 6,4000,,,,0000-00-00,0000-00-00,",","Cases & Protection,Cases & Protection",1
Marshall Stanmore Wireless Speaker - Black,Marshall,40930838,Black,7.34006E+12,,Bluetooth,"Phone, Tablet, Laptop",,34999,,,,0000-00-00,0000-00-00,,Speakers & Docks,1
Marshall Stanmore Wireless Speaker - Black,Marshall,40930838,Black,7.34E+12,,Bluetooth,"Phone, Tablet, Laptop",,34999,,,,0000-00-00,0000-00-00,,Speakers & Docks,1
